,desc
2669,"- Technische Betriebe Kreuzlingen, Nationalstrasse 27,  -""https://www.tbkreuzlingen.ch""
- 2x Steckdose Typ2 (16A, 3-ph) / Zugang: NewMotion RFID, MAINGAU Autostrom, easy4you app / ZeitbeschrÃ¤nkung: 5 h wÃ¤hrend des Tages / Stromkosten: Kostenpflichtig /"
2670,"- Fahrion & Partner Gartenbau, Zelgstrasse 11
- 1x Kabel mit Stecker - Typ1 (16A) / Freier Zugang
- Hinweis: only for visitors
Eintrag/Korrektur: 12-Feb-2019"
2671,"- Alpiq E-Mobility AG, Bleichestrasse 
- 1x Steckdose Typ2 (32A, 3-ph), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion RFID, easy4you app / ZeitbeschrÃ¤nkung: 5 h / Standort: Hinter der Zentralen Parkuhr
- Hinweis: Mit NM Karte: Preis per kWh CHF 0.7
"
2672,"- Ost-mobil c/o St.Galler Stadtwerke, Technische Betriebe Kreuzlingen, Marktstrasse 6-12
- 1x Kabel mit Stecker - CCS Typ2 (60kW), 1x Kabel mit Stecker - CHAdeMO (60kW), 1x Kabel mit Fahrzeugkupplung Typ2 (63A, 3-ph), 1x Steckdose Typ2 (32A, 3-ph) / Zuga"
2673,"- Move Mobility, Hauptstrasse 5
- 2x Steckdose Typ2 (16A, 3-ph)
Eintrag/Korrektur: 04-Aug-2021"
2818,"- Green Motion SA, Connylandstrasse 1
- 2x Steckdose Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 11-Jul-2020"
2819,"- Andreas und Sara Weber, HÃ¶henweg 4, 071 657 20 28
- 2x Steckdose CH Typ 13 (10A), FI / Stromkosten: vorlÃ¤ufig kostenlos, wenn GrusskÃ¤rtchen in Briefkasten / Standort: Steckdosen auf Terrasse und in Fertiggarage / Parken: gratis
- Interessant: Holzha"
2827,"- Repower AG, Alterswilerstrasse 2
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: Intercharge, Intercharge direct, MAINGAU Autostrom, Plug'n Roll APP
Eintrag/Korrektur: 19-Aug-2019"
2842,"- Alpiq E-Mobility AG, Hauptstrasse 54
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: MAINGAU Autostrom, easy4you app / Standort: Stationen vor Hotel/Restaurant SeemÃ¶ve
- Essen: Hotel/Restaurant SeemÃ¶we  -""https://www.seemoewe.ch/""
Eintrag/Korrektur: 10-MÃ¤"
2843,"- Garage Hofer AG , Landstrasse 24  , http://www.garagehofer.ch/, info@garagehofer.ch, +41-71 695 11 14
- 1x Steckdose Typ2 (16A, 1-ph) / Zugang: Siehe Hinweis / offen: Mo - Fr 7.15 - 18.00 Uhr,  Sa 8.00 - 12.00 Uhr / Anmeldung erforderlich, Anschluss mu"
2844,"- Green Motion SA, Klosterstrasse 4
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (22kW) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Aug-2021"
1,"- swisscharge.ch AG, Hochhaus 9
- 5x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Feb-2020"
21,"- swisscharge.ch AG, RaststÃ¤tte WÃ¼renlos, Richtung Bern
- 7x Kabel mit Stecker - CCS Typ2 (135.2kW), 3x Kabel mit Stecker - CHAdeMO (135.2kW), 6x Steckdose Typ2 (63A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAI"
25,"- swisscharge.ch AG, RaststÃ¤tte WÃ¼renlos, Richtung ZÃ¼rich
- 2x Kabel mit Stecker - CCS Typ2 (135.2kW), 2x Kabel mit Stecker - CHAdeMO (135.2kW), 4x Steckdose Typ2 (63A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App,"
34,"- swisscharge.ch AG, Landstrasse 2B
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 11-Jul-2020"
55,"- swisscharge.ch AG, RaststÃ¤tte WÃ¼renlos, Richtung ZÃ¼rich
- 6x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Feb-2020"
59,"- swisscharge.ch AG, Jurastrasse 42-44
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Feb-2020"
1529,"- swisscharge.ch AG, Dorfstrasse 69
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 23-Sep-2020"
1532,"- Paul Scherrer Institut PSI, www.psi.ch, 056 310 21 11
- 4x Steckdose CH Typ 13 (10A) / Freier Zugang / Standort: Areal Ost (auf der WÃ¼renlinger Seite); nordÃ¶stliche Ecke des Areals aussen am Zaun beim Hochbau; zwei markierte Parkfelder fÃ¼r Elektrofa"
1540,"- Auto Schneider AG, KuhgÃ¤sslistrasse 1,  -""http://www.autoschneider.ch/""
- 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph), 1x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP / Stromkosten: CHF 0,20/kWh + CHF 1,00
Eintrag/Korrektur: 08-Feb-2017"
1541,"- swisscharge.ch AG, KuhgÃ¤sslistrasse 7
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 04-Aug-2021"
1551,"- Last Mile Solutions, 21 9, Brown Boveri Platz 3A
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: ChargePoint RFID/APP, Ladenetz RFID/App, NewMotion RFID, PlugSurfing RFID/APP, EnBW, entega RFID, EWE, SMATRICS RFID
Eintrag/Korrektur: 04-Feb-2020"
1552,"- Parkhaus Gartenstrasse, Gartenstrasse 20
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: evpass RFID/APP / Standort: Parkhaus
- Hinweis: Ladestationen von Greenmotion
Eintrag/Korrektur: 20-Jan-2020"
1553,"- Groupe E, Pfisterstrasse 1
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (31A, 3-ph)
Eintrag/Korrektur: 28-Mai-2020"
1554,"- Groupe E, Axpo, Parkstrasse 23
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: kein Zugang mit RFID / Standort: Vor dem GebÃ¤ude der Axpo.
- Hinweis: Zugang nicht Ã¶ffentlich, nur fÃ¼r Kunden. Der Zugang zu den ParkplÃ¤tzen wird mittels Parkschranke geregelt"
1555,"- AEW Energie AG / Berufsfachschule Baden, Schmiedestrasse 4
- 2x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: SMS sonstige, RFID Lokal
Eintrag/Korrektur: 14-Jun-2018"
1556,"- Velostation, Stadtturmstrasse 6
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Kabel mit Fahrzeugkupplung Typ2 (63A, 3-ph) / Zugang: evpass RFID/APP / Stromkosten: Kostenpflichtig / Parken: Kostenpflichtig
- Hinweis"
1557,"- Parkhaus Bahnhof, Oelrainstrasse,  -""https://www.baden.ch/de/leben-wohnen/mobilitaet/parkhaeuser-parkplaetze.html/606""
- 2x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP / Stromkosten: Siehe Bi"
1558,"- Parkhaus Theaterplatz, Theaterplatz
- 2x Kabel mit Fahrzeugstecker Typ2 (Gen1) (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP / Stromkosten: Kostenpflichtig / Parken: Kostenpflichtig
- Hinweis: Ladestation Greenmotion
Eintrag/"
1559,"- Parkhaus LÃ¤ndli, LÃ¤ndliweg 5
- 2x Kabel mit Fahrzeugstecker Typ2 (Gen1) (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP / Stromkosten: Kostenpflichtig / Parken: Kostenpflichtig
- Hinweis: Ladestation Greenmotion
Eintrag/Korre"
1560,"- Kantonsspital Baden, Im Ergel 1
- 2x Kabel mit Fahrzeugstecker Typ2 (Gen1) (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP / Stromkosten: Kostenpflichtig / Parken: Kostenpflichtig
- Hinweis: Ladestation Greenmotion
Eintrag/Korr"
1561,"- Green Motion SA, Zelgweg 11
- 2x Steckdose Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 11-Jul-2020"
1562,"- Groupe E, Daniel MÃ¼ller AG, Mellingerstrasse 200
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: MOVE RFID
Eintrag/Korrektur: 04-Feb-2020"
1563,"- ABB Schweiz AG, Segelhofstrasse 1k
- 2x Kabel mit Stecker - CCS Typ2 (50kW), 2x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (32A, 3-ph), 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph) / Freier Zugang / ZeitbeschrÃ¤nkung: 1 h / Stromkosten: Ko"
1564,"- Autohaus KÃ¼ng AG, Im Geelig 1,  -""http://www.kueng-automobile.ch/"", +41 56 2019292
- 1x Kabel mit Stecker - CHAdeMO (50kW) / Stromkosten: Pauschal Anfangsbetrag = Fr. 2.â fÃ¼r Chademo + Bezugskosten
Eintrag/Korrektur: 16-Sep-2020
Aktiv gemeldet am:"
1565,"- Groupe E, Im Halt 2 
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 16-Sep-2020"
1568,"- Green Motion SA, Gassliackerstrasse 6
- 2x Steckdose Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Feb-2020"
1569,"- Green Motion SA, Landstrasse 130
- 2x Steckdose Typ2 (32A, 3-ph), 2x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Feb-2020"
1570,"- Altenburg-Garage AG, SchiffmÃ¼hlestrasse 5
- 1x Kabel mit Stecker - Typ1 (16A) / Freier Zugang
- Hinweis: only for visitors
Eintrag/Korrektur: 08-Feb-2017"
1571,"- Vreni und Kurt Doppler-Amrein, Auf dem Buck 6, kurt_doppler@gmx.ch, 056 222 23 75
- 1x Steckdose CH Typ 13 (10A) / Tel. anmelden
- Interessant: Solarhaus; LÃ¤gern-Wanderung, Burghorn ca. 2 Std. retour
Eintrag/Korrektur: 03-MÃ¤r-2002"
1572,"- Coop Einkaufszentrum TÃ¤gipark, Jurastr. 42, www.coopcenter.ch, +41-56-4379050
- 1x Steckdose CH Typ 13 (10A) / Freier Zugang / offen: Mo-Fr 8:30-20:00 Uhr, Sa 8-20 Uhr / Standort: beim Eingang am Veloparkplatz
- Hinweis: nur fÃ¼r 2-rÃ¤der, maximal kle"
1573,"- Green Motion SA, Halbartenstrasse 5
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 11-Jul-2020"
1574,"- Energie 360Â°, Center Passage , Landstrasse 99,  -""https://www.energie360.ch/de/private/umweltschonend-fahren/ladeservice-elektroauto/"", +41-43-317-24-75
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: adhoc per QR Code und Web App, Kreditkarte, NewMotion AP"
1575,"- Green Motion SA, Landstrasse 108
- 1x Kabel mit Stecker - Typ1 (32A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Feb-2020"
1576,"- EV-Box B.V., Hardstrasse 73
- 1x Steckdose Typ2 (16A, 3-ph) / Zugang: NewMotion RFID, PlugSurfing RFID/APP, SMATRICS RFID
- Hinweis: <b>Import from provider, data not yet reviewed.</b>
Eintrag/Korrektur: 02-MÃ¤r-2017"
1577,"- Groupe E, ZÃ¼rcherstrasse
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: MOVE RFID
Eintrag/Korrektur: 11-Jul-2020"
1578,"- AMAG Automobil- und Motoren AG, Winkelstrasse 2
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 01-MÃ¤r-2020"
1579,"- Hotel Linde, Niederrohrdorferstrasse 1,  -""http://www.linde-fislisbach.ch"", felix@linde-fislisbach.ch, +41-56-493-12-80
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Anmeldung an der Reception / Stromkosten: Strom und Parken fÃ¼r GÃ¤ste kostenlos /"
1580,"- Gemeinde Fislisbach, Feldstrasse 35,  -""https://www.fislisbach.ch/umwelt-verkehr/auto/e-tankstelle/"", info@fislisbach.ch, +41 56 483 01 41
- 2x Kabel mit Fahrzeugkupplung Typ2 (16A, 3-ph) / Zugang: RFID Lokal / Stromkosten: Kostenlos / Standort: Seite"
1581,"- Felix KÃ¼hnis, Vreniken 6, 056 496 17 61, 056 496 17 61
- 1x Steckdose CH Typ 13 (10A) / Tel. anmelden / Standort: beim Mutschellen
- Interessant: SolarhÃ¤user
Eintrag/Korrektur: 17-MÃ¤r-2000"
1588,"- Energie 360Â° AG, Birnenweg 1,  -""http://www.energie360.ch""
- 1x Kabel mit Stecker - CCS Typ2 (20kW), 1x Kabel mit Stecker - CHAdeMO (20kW), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: Kreditkarte, NewMotion APP, PlugSurfing RFID/APP, virta/swisscharge app"
1590,"- swisscharge.ch AG, P+Rail SBB, Bahnhofstrasse 80
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 08-Jul-2021"
3106,"- Umwelt Arena, TÃ¼rliackerstrasse 4
- 10x Steckdose Typ2 (16A, 3-ph) / Zugang: adhoc per QR Code und Web App, virta/swisscharge app / Standort: Tiefgarage der Umwelt Arena: -""https://www.umweltarena.ch/besuchen/anreise"" / Parken: Siehe Bild
- Hinweis: W"
3107,"- Alpiq E-Mobility AG, IKEA Spreitenbach, MÃ¼slistrasse 16,  -""http://www.ikea.com/ch/de/store/spreitenbach?cid=ps/ch/de_02_brand_storelocator/201703171031460838_56""
- 12x Steckdose Typ2 (32A, 3-ph) / Zugang: easy4you app / ZeitbeschrÃ¤nkung: max. 2 h /"
3108,"- Energie 360Â° AG, TÃ¼rliackerstrasse 4,  -""http://www.energie360.ch"", +41 43 317 22 22
- 1x Kabel mit Stecker - CCS Typ2 (20kW), 1x Kabel mit Stecker - CHAdeMO (20kW), 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph), 1x Steckdose Typ2 (32A, 3-ph) / Zuga"
3109,"- Groupe E, GrabÃ¤ckerstrasse  58 
- 2x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 18-Jun-2020"
3110,"- Alpiq E-Mobility AG, Industriestrasse 163
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: SMS sonstige, easy4you app / Stromkosten: Kostenpflichtig / Standort: Mennekes Wandladestation Typ 2, 32A / Parken: Kostenlos
- Hinweis: Easy4you: Registrierte Kunden:"
3111,"- Green Motion SA, SandÃ¤ckerstrasse
- 4x Steckdose Typ2 (32A, 3-ph), 4x Kabel mit Stecker - Typ1 (16A) / Zugang: evpass RFID/APP
Eintrag/Korrektur: 04-Feb-2020"
3112,"- Stromtankstelle, Shoppi Tivoli Spreitenbach, Landstrasse, www.shoppitivoli.ch, info@shoppitivoli.ch, +41-56 419 55 00
- 6x Steckdose CEE blau 230V/16A (16A), 6x Steckdose CH Typ 13 (10A) / Freier Zugang / offen: 6-22 Uhr (wie Parkhaus-Ãffnungszeiten)"
2,"- swisscharge.ch AG, Bahnhofstrasse 45
- 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 14-Jul-2020"
821,"- BP, AutobahnraststÃ¤tte MÃ¼nsingen Ost
- 1x Kabel mit Stecker - CCS Typ2 (20kW), 1x Kabel mit Stecker - CHAdeMO (20kW), 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph) / Zugang: EC/Maestro Karte, Kreditkarte / Stromkosten: Pauschal CHF 10.- / Standort:"
822,"- BP, A6, AutobahnraststÃ¤tte MÃ¼nsingen
- 1x Kabel mit Stecker - CCS Typ2 (20kW), 1x Kabel mit Stecker - CHAdeMO (20kW), 1x Kabel mit Fahrzeugkupplung Typ2 (32A, 3-ph) / Zugang: Kreditkarte / Stromkosten: 10 CHF pro Ladung
- Hinweis: Ladestation nach EV"
826,"- Lidl Schweiz, Unterer Breitenacker 3
- 1x Kabel mit Stecker - CCS Typ2 (50kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Kabel mit Fahrzeugkupplung Typ2 (63A, 3-ph) / Freier Zugang / Stromkosten: Kostenlos / Parken: Kostenlos
Eintrag/Korrektur: 15-Aug-"
827,"- Groupe E, Muristr. 3
- 1x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 28-Mai-2020"
828,"- innogy eMobility Solutions GmbH, charging station sma MOVE Mobility SA, Flugplatzstrasse 4 4
- 2x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 28-Mai-2020"
829,"- Aldi Suisse, Viehweidstrasse 3
- 2x Kabel mit Fahrzeugkupplung Typ2 (16A, 3-ph), 2x Kabel mit Stecker - Typ1 (16A) / Zugang: SMS sonstige, evpass RFID/APP / Stromkosten: 1 Sunde kostenlos / Standort: Aldi Parkplatz / Parken: Kostenlos
- Essen: Aldi, Re"
830,"- EV-Box B.V., Flugplatzstrasse 31
- 2x Steckdose Typ2 (16A, 3-ph) / Zugang: NewMotion RFID, PlugSurfing RFID/APP, SMATRICS RFID
Eintrag/Korrektur: 14-Jul-2020"
831,"- Groupe E, Bahnhofstrasse 7 7
- 2x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 28-Mai-2020"
832,"- Groupe E, Dorfstrasse 1
- 1x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 28-Mai-2020"
833,"- eCarUp AG, Bahnhofstrasse 31
- 1x Steckdose Typ2 (32A, 3-ph)
Eintrag/Korrektur: 14-Jul-2020"
950,"- Sportzentrum CIS, SchÃ¼tzenstrasse 72,  -""http://www.sportzentrum-cis-heimberg.ch"", info@sportzentrum-heimberg.ch, 033 437 33 30
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: Kostenlos / Standort: Sportzentrum CIS / Parken: Kostenlos
-"
968,"- Markus Hottinger, untere Rebzelg 16, 033 356 24 52, 033 345 78 33
- 1x Steckdose CH Typ 13 (10A) / Tel. anmelden
Eintrag/Korrektur: 17-MÃ¤r-2000"
969,"- LiTech GmbH, Seftigenstrasse,  -""http://itech.ch"", info@litech.ch, +41 335520277
- 1x Steckdose Typ2 (16A, 3-ph), 1x Steckdose Typ2 (16A, 3-ph) / Freier Zugang
Eintrag/Korrektur: 21-Jun-2021
Aktiv gemeldet am: 06-Jun-2021"
3,"- swisscharge.ch AG, Pilatusstrasse 10
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom, virta/swisscharge app
Eintrag/Korrektur: 14-Jul-2020"
36,"- swisscharge.ch AG, SOCAR, GÃ¼terstrasse 1A
- 2x Kabel mit Stecker - CCS Typ2 (135.2kW), 1x Kabel mit Stecker - CHAdeMO (50kW), 1x Steckdose Typ2 (32A, 3-ph) / Zugang: NewMotion APP, PlugSurfing RFID/APP, E.ON, eins E-Mobil RFID/App, MAINGAU Autostrom,"
1723,"- DISA Elektro AG, KÃ¤gisiwlerstrasse 33, info@disa.ch, +41-41-666-70-50
- 2x Steckdose Typ2 (32A, 3-ph) / Stromkosten: Kostenlos / Parken: Kostenlos
Eintrag/Korrektur: 12-Feb-2018"
1727,"-  ElektrizitÃ¤tswerk Obwalden, Bahnhofplatz 1
- 2x Steckdose Typ2 (32A, 3-ph) / Zugang: MAINGAU Autostrom, easy4you app / Stromkosten: Kostenpflichtig / Standort: Links von den Ã¼berdachten VelostÃ¤ndern. / Parken: Kostenpflichtig
- Interessant: GegenÃ¼"
1728,"- ElektrizitÃ¤tswerk Obwalden, Bahnhof, +41 41 666 51 84
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: RWE-Ladestation / Parken: gebÃ¼hrenpflichtig
- Hinweis: Typ 2 unterstÃ¼tzt auch einphasiges Laden mit 16A/230V c"
1729,"- ElektrizitÃ¤tswerk Obwalden, Bahnhofplatz, http://www.ewo.ch/, info@ewo.ch, +41-666-51-00
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: Auf dem Park & Ride Parkplatz des Bahnhofs Sarnen / Parken: gebÃ¼hrenpflichti"
1730,"- ElektrizitÃ¤tswerk Obwalden, Sarnerstrasse 5,  -""http://www.ewo.ch"", info@ewo.ch, +41-41-666-51-00
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: Gemeindeparkplatz neben Gemeindehaus Kerns
- Hinweis: EWO NaturStrom"
1731,"- Sportbahnen Melchsee-Frutt, Fruttstrasse 53,  -""http://www.melchsee-frutt.ch"", info@melchsee-frutt.ch, +41-41-669-70-60
- 1x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: Kostenlos / Standort: Parkhaus StÃ¶ckalp; die E-Tankstelle befindet s"
1732,"- ElektrizitÃ¤tswerk Obwalden, Bahnhofstrasse,  -""http://www.ewo.ch/"", info@ewo.ch, +41-666-51-00
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: Auf dem Park & Ride Parkplatz des Bahnhofs Sachseln / Parken: gebÃ¼hren"
1733,"- Jugendstil-Hotel Paxmontana, Dossen 1,  -""https://www.paxmontana.ch"", info@paxmontana.ch, +41-666-24-00
- 2x Kabel mit Fahrzeugkupplung Typ2 (16A, 3-ph) / Freier Zugang
- Essen: Hotel Paxmontana
- Schlafen: Hotel Paxmontana
- Hinweis: 1 Tesla Destinati"
1734,"- OWi-Land AG, BrÃ¼nigstrasse 200, info@owi-land.ch, +41-41-611-07-01
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: An der BrÃ¼nigstrasse bei der Einfahrt zur RaststÃ¤tte / Parken: kostenlos
- Essen: Bar/Bistro, Ã "
1735,"- ElektrizitÃ¤tswerk Obwalden, Bahnhof, +41 41 666 51 84
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: RWE-Ladestation / Parken: gebÃ¼hrenpflichtig
- Interessant: Typ 2 unterstÃ¼tzt auch einphasiges Laden mit 16A/23"
1736,"- ElektrizitÃ¤tswerk Obwalden, Bahnhofstrasse,  -""http://www.ewo.ch"", info@ewo.ch, +41-41-666-51-00
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: Bahnhof Lungern
- Hinweis: EWO NaturStrom
Eintrag/Korrektur: 26-Okt-2"
1737,"- Hotel & Restaurant Kaiserstuhl, BrÃ¼nigstrasse 232,  -""http://www.kaiserstuhl-lungernsee.ch"", info@kaiserstuhl-lungernsee.ch, +41-41-310-13-13
- 2x Steckdose Typ2 (16A, 3-ph) / Freier Zugang / Stromkosten: kostenlos / Standort: Ladestation beim Hotel &"
